Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
190626_I114_FCH7TVNBBXY_L3_20-N2_1_val_1		77.83025105814009	30.0	47.17220034342116	27.27272727272727	18227182.0
190626_I114_FCH7TVNBBXY_L3_20-N2_2	2.211488844972979					
190626_I114_FCH7TVNBBXY_L3_20-N2_2_val_2		70.46528476271834	27.0	45.84670005489603	27.27272727272727	18227182.0
190626_I114_FCH7TVNBBXY_L3_5-N3_1	1.9988878002624568					
190626_I114_FCH7TVNBBXY_L3_5-N3_1_val_1		75.33765879276021	31.0	47.24522090385964	27.27272727272727	24038489.0
190626_I114_FCH7TVNBBXY_L3_5-N3_2	1.9997047392059302					
190626_I114_FCH7TVNBBXY_L3_5-N3_2_val_2		68.4373277856401	28.0	45.91692872210063	27.27272727272727	24038489.0
190626_I114_FCH7TVNBBXY_L3_5-S2_1	2.298098548630562					
190626_I114_FCH7TVNBBXY_L3_5-S2_1_val_1		73.40404966232308	31.0	47.111218249109726	27.27272727272727	25870062.0
190626_I114_FCH7TVNBBXY_L3_5-S2_2	2.3200529479239815					
190626_I114_FCH7TVNBBXY_L3_5-S2_2_val_2		65.9740236201635	28.0	45.815593329463226	27.27272727272727	25870062.0
190626_I114_FCH7TVNBBXY_L3_OC-N1_1	1.7894747923857584					
190626_I114_FCH7TVNBBXY_L3_OC-N1_1_val_1		73.49118284172364	30.0	47.36017004868692	27.27272727272727	21362823.0
190626_I114_FCH7TVNBBXY_L3_OC-N1_2	1.8058925615652546					
190626_I114_FCH7TVNBBXY_L3_OC-N1_2_val_2		63.6764672862518	27.0	46.108365968299225	27.27272727272727	21362823.0
190626_I114_FCH7TVNBBXY_L3_OC-N2_1	1.95992650187262					
