ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm011457,1.260299128,3.3173831,19.52714307,0.000129286,0.024087323
Funhe2EKm032296,1.583422168,2.556089901,19.45178517,0.000133747,0.024087323
Funhe2EKm003034,-1.669648324,1.736063312,19.41804405,0.000133751,0.024087323
Funhe2EKm036963,-1.096835475,2.645554336,19.22781183,0.000141937,0.025087024
Funhe2EKm000540,-1.870883157,2.780447636,19.35372145,0.000148031,0.025087024
Funhe2EKm036279,1.881474578,4.025939252,19.48824824,0.000151076,0.025087024
Funhe2EKm037588,-0.76239943,4.364067179,19.02429887,0.000151295,0.025087024
Funhe2EKm006658,0.938788262,4.577064889,18.95182775,0.000154785,0.025087024
Funhe2EKm031786,-0.965321533,2.962358777,18.92769327,0.000155966,0.025087024
Funhe2EKm015626,3.15530893,6.35456675,19.80374249,0.000157031,0.025087024
Funhe2EKm008184,1.374856621,3.350764265,18.92620055,0.000160039,0.025161688
Funhe2EKm000851,0.926614572,3.56491831,18.77714664,0.000163558,0.025313126
Funhe2EKm000798,-0.785848101,3.812321098,18.7016359,0.000167514,0.025526566
Funhe2EKm031230,1.16243248,2.158764966,18.38159592,0.000185459,0.027832959
Funhe2EKm000007,-1.052880811,2.128904773,18.01450438,0.00020862,0.030526859
Funhe2EKm038106,0.870329348,3.671587298,17.9617932,0.000212193,0.030526859
Funhe2EKm038193,0.827224159,3.815298476,17.95503477,0.000212656,0.030526859
Funhe2EKm039315,0.938502538,3.131604739,17.84853163,0.000220094,0.030889498
Funhe2EKm029614,1.21425836,1.564745089,17.82997135,0.000221419,0.030889498
Funhe2EKm026265,0.646862325,4.993789629,17.65223518,0.000234547,0.031849052
Funhe2EKm033354,-1.115526612,1.791044286,17.64985723,0.000234728,0.031849052
Funhe2EKm028679,-2.453829258,8.651688821,18.03827471,0.000253183,0.033682629
Funhe2EKm009398,1.025121958,1.643264845,17.3933887,0.000255183,0.033682629
Funhe2EKm040252,1.490914773,1.006388078,17.34377391,0.000259357,0.033682629
Funhe2EKm004657,1.902374563,2.227169119,17.46396301,0.000262524,0.033682629
Funhe2EKm034290,0.706046232,5.527331576,17.27522201,0.000265244,0.033682629
Funhe2EKm032286,0.595479916,3.18980663,17.22467911,0.000269677,0.033812067
Funhe2EKm009445,-0.912609321,2.026701738,17.10296582,0.000280682,0.034751967
Funhe2EKm005408,-0.775129721,4.408913292,17.03661926,0.000286883,0.034956262
Funhe2EKm031090,0.861296065,3.407073141,16.91222731,0.00029891,0.034956262
Funhe2EKm012096,1.444659544,2.831041615,16.97914357,0.000300724,0.034956262
Funhe2EKm023001,1.344868212,3.425064538,16.9763984,0.000301061,0.034956262
Funhe2EKm037987,1.180991367,1.147448925,16.8705967,0.000303055,0.034956262
Funhe2EKm036112,-2.547137083,6.323697505,17.48487976,0.000303507,0.034956262
Funhe2EKm028258,-0.745058594,4.303779519,16.62505741,0.000328794,0.037433388
Funhe2EKm039267,-0.568140412,5.376824952,16.47505188,0.000345667,0.038907183
Funhe2EKm037721,-0.866728651,3.203721397,16.43191783,0.000350689,0.038925225
Funhe2EKm033474,-0.789997057,2.564246731,16.40648785,0.000353687,0.038925225
Funhe2EKm029773,0.916971926,3.301536104,16.27702264,0.000369381,0.040205725
