ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm028688,1.557345166,3.0911748,17.9577509,0.00022503,0.01303435
Funhe2EKm008257,-1.09018969,3.65313389,17.737768,0.00022813,0.01313724
Funhe2EKm036798,-1.11339875,5.45157144,17.699547,0.00023097,0.01322418
Funhe2EKm010265,-1.22719452,2.15866256,17.5427681,0.00024305,0.01382671
Funhe2EKm007662,0.799293731,3.92817106,17.5271194,0.00024429,0.01382671
Funhe2EKm031466,-0.94612352,3.50096618,17.4690884,0.00024895,0.0139576
Funhe2EKm036948,0.788781719,2.73763054,17.4633576,0.00024942,0.0139576
Funhe2EKm011840,-1.05667483,1.33007969,17.4260209,0.00025248,0.01404936
Funhe2EKm011067,-1.00131717,0.76089904,17.3773263,0.00025653,0.01419492
Funhe2EKm027762,0.734702016,7.44849066,17.2486406,0.00026757,0.01471106
Funhe2EKm025060,1.415204788,3.67874798,17.3921155,0.00026961,0.01471106
Funhe2EKm026332,-0.63141318,3.37932151,17.1953001,0.00027229,0.01471106
Funhe2EKm035033,1.870746462,2.47247518,17.3672291,0.00027397,0.01471106
Funhe2EKm017615,0.586708862,4.42805518,17.1654026,0.00027498,0.01471106
Funhe2EKm011612,-1.38034462,1.71159307,17.1600762,0.00027546,0.01471106
Funhe2EKm025833,0.915185817,2.23319321,17.1513567,0.00027625,0.01471106
Funhe2EKm025590,-0.90781636,4.31197179,17.1157684,0.0002795,0.01475738
Funhe2EKm007587,1.03409547,3.51297729,17.1080109,0.00028022,0.01475738
Funhe2EKm039581,-1.01634335,5.03677498,17.0798226,0.00028283,0.01475738
Funhe2EKm024867,1.372796719,6.25784659,17.2220495,0.00028308,0.01475738
Funhe2EKm031683,1.041321454,2.3004131,17.0580997,0.00028486,0.01477244
Funhe2EKm036866,-1.89474948,3.1014965,17.3305389,0.00028995,0.01495831
Funhe2EKm024890,0.961669081,4.30369568,16.9623201,0.000294,0.01501985
Funhe2EKm009444,1.371654184,1.3311446,16.9605002,0.00029418,0.01501985
Funhe2EKm002241,0.853340586,6.42392119,16.8057537,0.00030964,0.01570929
Funhe2EKm037865,-0.96973193,1.98547672,16.783432,0.00031194,0.01570929
Funhe2EKm005371,1.422921942,5.38847562,16.9662088,0.00031244,0.01570929
Funhe2EKm029815,-1.1099095,2.02219386,16.739251,0.00031654,0.01583514
Funhe2EKm026191,1.279203796,3.02206488,16.7152414,0.00032104,0.01597923
Funhe2EKm002313,1.07221862,3.0130293,16.6584577,0.00032516,0.01610349
Funhe2EKm011959,-1.66032567,1.19550854,16.625276,0.00032877,0.01617026
Funhe2EKm029278,0.656254872,4.8296525,16.6161385,0.00032977,0.01617026
Funhe2EKm004639,0.722852601,2.22683293,16.5828775,0.00033345,0.01626993
Funhe2EKm008452,-1.45870791,1.18337078,16.5407017,0.00033817,0.01641952
Funhe2EKm016752,-1.71620709,2.9022847,16.7510832,0.00034076,0.01646461
Funhe2EKm008205,-0.60567632,4.48337268,16.4943528,0.00034344,0.01651369
Funhe2EKm016791,-0.69361357,4.65388771,16.4484758,0.00034875,0.01663175
Funhe2EKm025892,-0.80211661,4.43156729,16.4441408,0.00034926,0.01663175
Funhe2EKm023372,-0.68845926,3.12583039,16.4087682,0.00035342,0.01670742
Funhe2EKm004012,-1.2505104,3.28382107,16.447979,0.00035506,0.01670742
Funhe2EKm038364,-0.82583945,2.7660421,16.3877978,0.00035591,0.01670742
Funhe2EKm013738,1.659893796,2.75390337,16.4929715,0.00036393,0.01693098
Funhe2EKm027732,0.630923852,4.47573444,16.3200109,0.00036409,0.01693098
Funhe2EKm025850,-0.94958904,1.79591873,16.1543314,0.00038495,0.01781727
Funhe2EKm011556,-0.75503299,1.94942944,16.1202384,0.0003894,0.01793938
Funhe2EKm027528,0.647063547,3.52495319,16.1010236,0.00039193,0.01797243
Funhe2EKm038440,-1.15757611,1.7586658,16.0542102,0.00039817,0.01817457
Funhe2EKm023820,-0.72469678,2.31906235,15.9376605,0.00041418,0.01881873
Funhe2EKm004155,0.875813684,2.91295054,15.8689751,0.00042394,0.0188928
Funhe2EKm035791,-0.62657238,3.64889768,15.8601944,0.00042521,0.0188928
Funhe2EKm039401,1.102945534,6.77868864,15.8596796,0.00042528,0.0188928
Funhe2EKm003529,0.660265454,2.76156509,15.8545081,0.00042603,0.0188928
Funhe2EKm037373,0.890956113,2.23513344,15.8516473,0.00042644,0.0188928
Funhe2EKm029617,-1.96132896,7.84836115,16.2794631,0.00042836,0.0188928
Funhe2EKm030542,0.587790171,5.47002397,15.8324124,0.00042924,0.0188928
Funhe2EKm031640,-1.3517864,1.2588791,15.7779064,0.00043727,0.0188928
Funhe2EKm039430,-1.16651054,1.4991777,15.7636042,0.0004394,0.0188928
Funhe2EKm013365,0.598131997,3.61946772,15.7569784,0.00044039,0.0188928
Funhe2EKm025230,1.329470388,4.30316926,15.9188536,0.00044041,0.0188928
Funhe2EKm003443,1.340568323,2.02679587,15.7535193,0.00044091,0.0188928
Funhe2EKm019619,-1.59338356,3.47628218,15.9966742,0.0004414,0.0188928
Funhe2EKm039641,-1.37696063,1.80229351,15.741693,0.00044269,0.0188928
Funhe2EKm028276,-0.65464355,5.66716804,15.7228095,0.00044554,0.0188928
Funhe2EKm034682,1.366636302,1.6792181,15.7129898,0.00044704,0.0188928
Funhe2EKm027254,-1.0822715,2.28867403,15.7051054,0.00044824,0.0188928
Funhe2EKm024879,0.6063535,5.35183416,15.6493354,0.00045685,0.01916617
Funhe2EKm012008,1.176546534,4.20171867,15.7169271,0.00045859,0.01916617
Funhe2EKm032232,-0.95562774,2.2996721,15.6106059,0.00046293,0.01926595
Funhe2EKm035717,1.017733143,4.80783294,15.5038316,0.00048015,0.01985145
Funhe2EKm007323,0.85618716,4.18817003,15.4986352,0.000481,0.01985145
Funhe2EKm003667,1.797712507,3.12727905,15.7902024,0.00048503,0.01993443
Funhe2EKm016575,0.6018609,3.13335562,15.2612173,0.00052189,0.02127655
Funhe2EKm024724,-1.74911845,1.43169337,15.2607472,0.00052198,0.02127655
Funhe2EKm006125,-0.82814927,3.59095408,15.2450332,0.00052481,0.02129095
Funhe2EKm031503,0.95075684,3.80064738,15.2350149,0.00052663,0.02129095
Funhe2EKm037535,1.453937938,3.26615914,15.3430548,0.00053548,0.02156057
Funhe2EKm009816,-0.61644503,5.53796165,15.1703374,0.00053852,0.02158659
Funhe2EKm038661,2.468690059,5.84961788,15.7364482,0.00054065,0.02158659
Funhe2EKm000481,1.258156414,2.45072071,15.148184,0.00054266,0.02158659
Funhe2EKm028578,-1.98831148,3.74312309,15.486947,0.00056181,0.02225873
Funhe2EKm024678,-0.91598504,6.20629379,14.9566415,0.00057991,0.02288446
Funhe2EKm003046,-1.42664127,1.44442942,14.9082455,0.00058975,0.02318042
Funhe2EKm038407,-0.85123046,4.79973954,14.8392806,0.00060408,0.02364997
Funhe2EKm029218,-1.03897113,1.91089483,14.8014197,0.00061211,0.02386992
Funhe2EKm039131,-1.45034398,2.92304913,14.8456783,0.00061785,0.02399912
Funhe2EKm023529,-0.47907108,4.20630342,14.7432865,0.00062466,0.02416904
Funhe2EKm010975,0.848568082,2.47854357,14.7315966,0.00062722,0.02417355
Funhe2EKm031306,-1.21530034,2.06120526,14.6997859,0.00063423,0.02430495
Funhe2EKm037112,0.790979326,5.38635462,14.6939262,0.00063554,0.02430495
Funhe2EKm026287,0.873235857,2.45311845,14.6819281,0.00063821,0.02431333
Funhe2EKm032716,1.067137286,2.29104961,14.6472913,0.000646,0.0245157
Funhe2EKm005993,0.828236232,4.07900149,14.6308693,0.00064972,0.02456305
Funhe2EKm040575,1.274709895,1.41115546,14.6010407,0.00065655,0.02472689
Funhe2EKm026878,0.767841746,3.93477064,14.5784125,0.00066179,0.02482956
Funhe2EKm022962,1.604912655,7.07545757,14.7864836,0.00067691,0.02530123
Funhe2EKm005230,0.97041201,2.95731606,14.4951329,0.00068144,0.02535094
Funhe2EKm030868,1.727695265,3.0031927,14.7629924,0.00068336,0.02535094
Funhe2EKm034793,1.498457561,3.9541866,14.7230513,0.00068707,0.02539334
Funhe2EKm037591,0.89760878,11.4807456,14.4480682,0.00069282,0.02551061
Funhe2EKm031382,0.566595455,4.9103261,14.3891131,0.00070736,0.02594974
Funhe2EKm030572,1.011439502,1.66799432,14.3640846,0.00071364,0.02602259
Funhe2EKm036680,-0.60400996,6.35633044,14.3602523,0.0007146,0.02602259
Funhe2EKm033768,0.731687171,3.56971285,14.3086658,0.00072774,0.02640404
Funhe2EKm030025,1.362881912,6.81190414,14.4357794,0.00073267,0.02648579
Funhe2EKm028662,0.753271542,3.04548714,14.2772351,0.00073588,0.02650497
Funhe2EKm005494,-0.78406141,2.99135837,14.2576164,0.000741,0.02659292
Funhe2EKm033284,1.282115978,2.0223949,14.1690106,0.00076464,0.02734212
Funhe2EKm003266,2.960003686,3.90976462,14.6678025,0.00077738,0.02761249
Funhe2EKm040116,1.132323789,3.00839135,14.121031,0.00077778,0.02761249
Funhe2EKm034594,0.824506199,3.01873735,14.0898348,0.00078645,0.02782063
Funhe2EKm012238,-1.08165787,2.32185236,14.0394487,0.00080068,0.02822309
Funhe2EKm032722,1.392762178,1.69974688,14.0009043,0.00081174,0.02851182
Funhe2EKm017732,-0.99383718,2.28476072,13.9622952,0.000823,0.02880494
