"","logFC","logCPM","F","PValue","FDR"
"canx",0.900178252256018,7.30880582786847,35.2262085941493,2.23005762306007e-06,0.000185770557751277
"LOC105936193",-1.49716255382785,3.41129601043077,34.8996364864802,2.40157739426252e-06,0.000194236111192955
"ctsf",-1.38357294221183,11.9120637393894,34.8982442530908,2.4023382250129e-06,0.000194236111192955
"cfl2",0.840935866489589,5.62804925714546,34.4662233864491,2.65140522572387e-06,0.000211081432485668
"scaf11",0.923881600303264,4.05197737014398,34.4073000434915,2.68746822007944e-06,0.000211081432485668
"LOC105937542",1.0616575140593,6.3935210894239,34.3273683316834,2.73723274350981e-06,0.000211684881435922
"rab11a",0.894630086361037,3.87629333212708,34.272200942331,2.77215559537766e-06,0.000211684881435922
"psmd2",1.0302084422456,5.09675043398711,34.2067471036355,2.81421144630261e-06,0.00021195252783249
"lasp1",0.856901890965433,4.24015654897121,33.8889383219807,3.02837712474269e-06,0.000225000235565342
"rbm8a",0.769722832581409,4.29748220617148,33.4882596202842,3.3236411609602e-06,0.00023602030504905
"rbm26",1.41932283041737,3.11014523358504,33.3893528460089,3.4011852696792e-06,0.00023602030504905
"lrpap1",1.10687811700189,3.63360713182657,33.3848611286074,3.40475260961049e-06,0.00023602030504905
"LOC105930597",0.734870223337817,5.36715825288662,33.3839267743062,3.40549518192793e-06,0.00023602030504905
"ppp1r3b",1.9668479137327,8.92217178562115,33.3317078757304,3.44851098431981e-06,0.00023602030504905
"vdac3",-0.95499655622905,6.35166088874026,33.2702129987086,3.49717943926338e-06,0.00023602030504905
"mboat2a",1.0332814870988,4.10230657543158,33.2170572418804,3.54094285896199e-06,0.00023602030504905
"ssr1",0.837205583394154,6.30807713945955,33.1959412057466,3.55849059828073e-06,0.00023602030504905
"dgkzb",0.941346500689641,3.22421147116536,33.1904650078083,3.56305662405805e-06,0.00023602030504905
"mibp",2.8859845330811,4.32006799214916,33.3795970059882,3.79277679007587e-06,0.000245904702479769
"derl1",1.01688951732014,4.76648221038497,32.9142440633957,3.80172784845041e-06,0.000245904702479769
"si:ch1073-459j12.1",-2.09978521997202,2.82653532116877,32.7945039619182,3.91047153525168e-06,0.000249997354660625
"cert1",0.921088746827077,3.49374569857049,32.5597598362348,4.1334676454934e-06,0.000261216150746238
"pik3r1",1.77901569378318,6.56727456981636,32.4123176843389,4.28048225466898e-06,0.000264819502267597
"LOC105920174",-0.593200432569355,5.96477229523337,32.4060843575446,4.28681988028667e-06,0.000264819502267597
"elovl6",5.21677372494913,6.61615170135962,33.0753437449202,4.47674842079205e-06,0.000273479586861274
"LOC105927121",0.899605216110588,4.15041593309617,32.0328366845056,4.68529931798961e-06,0.000281291112724612
"LOC105921300",1.21591227733096,5.86920695767407,32.0135476653038,4.70694477458427e-06,0.000281291112724612
