"","logFC","logCPM","F","PValue","FDR"
"cntfr",1.39372820670083,4.43509802128811,51.2890520229105,8.86770801433952e-08,7.69978767316707e-06
"pah",1.27584735921962,9.64245326669844,51.22935135183,8.96301220594203e-08,7.69978767316707e-06
"pla2g3",-4.29990948122433,4.89157497436546,52.2211980975461,9.58249066794829e-08,8.10531287575072e-06
"gramd2b",1.44787440670164,5.04302344254151,50.6393191984688,9.96625640213815e-08,8.23691189603594e-06
"cald1a",-1.35476347543052,3.5028471707558,50.599755128431,1.00377063847655e-07,8.23691189603594e-06
"si:ch73-281n10.2",-2.27238402368014,3.5128807396204,50.222997999702,1.07462955979963e-07,8.67046735485858e-06
"hint1",-1.04749097905043,5.15615286415593,50.154166178181,1.08814523005682e-07,8.67046735485858e-06
"gfm1",1.85733312423323,2.85164298326257,50.036651647276,1.11164326332584e-07,8.73116380252208e-06
"LOC105934007",1.37506652859605,4.05040623988578,49.6732806568728,1.18781089105862e-07,9.18952323294409e-06
"n4bp3",1.8125153325639,3.08726466312759,49.6018592077094,1.20342974312836e-07,9.18952323294409e-06
"mak16",1.37187363053961,3.96353517458169,49.4417675978412,1.2392454601069e-07,9.33338567077775e-06
"LOC105938918",0.996493140434731,4.85674870093005,49.3346641587201,1.26384388411171e-07,9.39001847952188e-06
"ap2a1",1.20458727071183,4.71151544289186,49.1987023429288,1.29582714501548e-07,9.47206300267668e-06
"kif16ba",1.26423694185678,4.17709728423794,49.1423242069767,1.30934301237437e-07,9.47206300267668e-06
"uggt1",1.40814311422655,4.91204248424359,49.0596739686516,1.32943125641343e-07,9.49248447761173e-06
"met",1.24282708100108,5.83437984736313,48.9088061371612,1.36695731316145e-07,9.63529654841237e-06
"ralgapa2",1.64772242380573,4.22686744021277,48.77420216314,1.40139778359514e-07,9.75301900532417e-06
"nectin1b",-1.99594643761203,3.86344051395393,48.6083117845166,1.44512879916149e-07,9.93164767223737e-06
"arfgap3",0.975788234218181,5.41213423368653,48.5014141960748,1.47408240439793e-07,1.00055618017035e-05
"hsp90aa1.2",5.81534749829225,2.84940469029742,49.1214638869214,1.49409631315582e-07,1.00177335728423e-05
"ccn1",2.70361533461083,4.39456940434567,48.3890125054873,1.61065851246082e-07,1.06691572307344e-05
"nsfl1c",1.12595497193742,4.63003891488977,47.9492314141613,1.63388804099517e-07,1.06941862492756e-05
"atg4c",-2.1528705632284,3.05862730449274,47.8277498975055,1.67148103890031e-07,1.08115326492634e-05
