"","logFC","logCPM","F","PValue","FDR"
"LOC105929369",-1.5888551418465,3.98307812033072,43.2140694420495,4.08229666274681e-07,5.70631480996102e-05
"pah",1.16810378864519,9.64245326669844,43.1299844414673,4.15155679153221e-07,5.70631480996102e-05
"LOC105933085",1.73249006303969,8.13301051347029,42.9795846017595,4.27860346825953e-07,5.73750289475388e-05
"keap1a",-1.21671927132924,3.47466752674702,42.8520560844873,4.38959900919881e-07,5.74619413156549e-05
"LOC105917706",4.43264530849527,9.11359733616408,43.796050240731,4.57285345440412e-07,5.84687169588694e-05
"cops6",1.25323824553827,2.88882289003171,42.3854251243841,4.82281920470427e-07,6.02633181533275e-05
"nsun2",1.20048929652386,3.2045315764856,42.1092364836037,5.10066838590527e-07,6.2318832857127e-05
"eif4ebp2",-1.20761571235211,5.8046703819509,41.2485827826233,6.08237800537947e-07,7.26976397251659e-05
"usp14",1.44332229710499,2.71755099410141,40.5526129729148,7.024506680238e-07,8.21717823998905e-05
"pik3c3",0.9444428769883,3.29010319682489,40.2360760033592,7.50376629491303e-07,8.59493897696496e-05
"eif4g1a",0.935409761534972,5.61992232296274,39.9907143849811,7.89937495615807e-07,8.86342112427695e-05
"ogdhb",2.02583604252176,6.77193726857919,39.8504424746768,8.13554759465366e-07,8.94584813508116e-05
"ints2",1.86276379260054,2.96236036864131,39.7525249326582,8.30489302195322e-07,8.95300035974486e-05
"LOC105928369",1.60565265267034,3.99437530584644,39.5506635226366,8.66605952482326e-07,9.16255945369055e-05
"ddx39ab",1.01980428570036,4.58611219569644,39.4606085567878,8.83258732349217e-07,9.16255945369055e-05
"si:dkey-91i10.3",1.09274879036088,7.43547455421209,39.2678287761688,9.20072560464479e-07,9.32403516242055e-05
"stard7",-1.22042320683102,4.09208267991867,39.2033882093449,9.3274269540402e-07,9.32403516242055e-05
"arrdc2",-1.18373074044999,3.97567386595253,39.0289511927896,9.67988625299795e-07,9.50357403910406e-05
"rgl1",-0.959503811449864,3.89899589291862,38.0932187951785,1.18312738901172e-06,0.000114119901487481
"prmt1",1.25892131587544,5.89882490939002,37.9748361522702,1.21380793005415e-06,0.000115060620679961
"LOC105934524",-0.943675683305356,3.87862011402298,37.5765815225112,1.32344832164644e-06,0.000121699477041672
"manf",1.1926716297877,5.70505740259805,37.5604291780218,1.3281136090397e-06,0.000121699477041672
"ahr2",1.06031893888095,4.82787999230551,37.326171773229,1.3977949806021e-06,0.000125984865628694
"krt18a.1",-1.36761361531725,8.77572691345401,37.0859225325833,1.47335066605333e-06,0.000130652934870342
"vkorc1",-1.19958326085065,5.11210325507476,36.8517606070769,1.55122319960366e-06,0.000131647527160179
"sec14l7",1.62917300638995,6.12820117529531,36.846630987556,1.55297776198104e-06,0.000131647527160179
"LOC105918728",-1.96424125602818,14.2581794579431,36.9144278516859,1.556400375666e-06,0.000131647527160179
"hnf4b",1.79934440456915,7.04117486066694,36.6756706905311,1.61268931596513e-06,0.000134341906957217
"LOC105920693",0.840921041964516,5.96847750818914,36.5151821652012,1.67098935657945e-06,0.000135665548928907
"tsr3",0.798151693967515,4.49047332138503,36.4964780703389,1.67792967027385e-06,0.000135665548928907
"sumo3b",0.938976869869598,3.44948055603366,36.3629308721864,1.72839139864659e-06,0.000137720230576216
"rtcb",1.39038599109643,3.98460518184578,36.2980951372655,1.75347503836528e-06,0.00013772293944189
"golm2",-1.4774581625773,3.39488766666961,36.1712257534934,1.80369542265784e-06,0.000139672076532011
"ercc3",0.975227090742717,3.36728201099414,36.075623406107,1.84255802280191e-06,0.000140699777907846
"LOC105920975",0.926862678153784,6.09335210476571,35.7885251059825,1.96476314580776e-06,0.00014797627089933
"emc10",0.773007459262175,4.10260084772082,35.5992395211627,2.0500733182803e-06,0.000152314906809528
"vdac3",-0.986152763061581,6.35166088874026,35.4863582907321,2.10283376466303e-06,0.000154151733841565
"hibadhb",0.890307734990266,4.28129775522647,35.3592625673053,2.16398723864789e-06,0.000155327123119815
"pknox1.1",-1.47163713457437,3.75197255869497,35.3360299068933,2.1753707675929e-06,0.000155327123119815
"col1a2",-2.5184186752354,3.99515266683091,35.3422294598815,2.35316560170857e-06,0.000165868006130688
"syde2",-1.61674603600939,3.2246423872504,34.7210722007259,2.501303096006e-06,0.000174078030656215
"uggt1",1.18261888459457,4.91204248424359,34.515335675592,2.62174366658972e-06,0.000179728390310578
"psma1",1.06691518375149,4.63374155095342,34.4519647803387,2.66008406833436e-06,0.000179728390310578
"LOC105937207",2.02640016387136,4.049375967639,34.4766254948913,2.68056165977944e-06,0.000179728390310578
"zgc:91910",1.03359232490259,3.99463783858711,34.2579047731622,2.78128336098699e-06,0.000182835763491288
"prpf31",0.961525138348394,3.63013626900125,34.2024195834027,2.81701602150306e-06,0.000182835763491288
"atpaf1",1.21886496687732,3.60130890211435,34.1875562544941,2.82667149813742e-06,0.000182835763491288
"psmd8",1.13435944500926,3.80238965656948,34.0503058659614,2.91752854360506e-06,0.000186518278287682
"vars1",1.12621256144504,3.49336118373572,33.8993557255611,3.02108630293067e-06,0.000189854050854387
"elovl5",-2.41286750692007,8.04714106477606,34.0452566342522,3.03914686235125e-06,0.000189854050854387
"psmb4",0.866597104668921,5.56026241749736,33.7804611472934,3.10542899957563e-06,0.000189854050854387
"nipal4",-2.11856428835733,5.07910540389475,33.8269944395642,3.13102980426783e-06,0.000189854050854387
"col1a1a",-2.31388941674198,3.47294076131408,33.8678484766499,3.14236424658953e-06,0.000189854050854387
"ggcx",-1.00980757593622,7.65752019469467,33.5134310503879,3.30421080280119e-06,0.000196796494862974
"dcn",-1.5136154090501,4.8468676529344,33.4748435228903,3.33404739333077e-06,0.000196796494862974
"aldh3a2b",-0.800749275023415,7.73816417600177,33.3253645156274,3.45238580578542e-06,0.000196796494862974
"actr1",0.828002274449364,4.16383393021045,33.3117252195604,3.46340593014321e-06,0.000196796494862974
"chmp2a",0.834043362161818,3.98342242880996,33.2822601557676,3.48734185968045e-06,0.000196796494862974
"LOC105915829",1.30729523265095,5.38527395435069,33.2348422572443,3.52623528962602e-06,0.000196796494862974
"abce1",1.1136983851159,4.55737965923372,33.2049703829582,3.550975823597e-06,0.000196796494862974
"brox",1.00004482161554,3.90249457191843,33.1369247396728,3.60803093634361e-06,0.000196796494862974
"LOC105937542",1.0417637575366,6.3935210894239,33.1071100301195,3.63333933796998e-06,0.000196796494862974
"sfxn1",-1.45032254248348,5.85142067574124,33.0736067936174,3.66200629389591e-06,0.000196796494862974
"si:ch73-281n10.2",-1.82990768298071,3.5128807396204,33.0560925962481,3.67708880270535e-06,0.000196796494862974
"lcat",1.01242730851788,9.03905068976678,32.9711171090676,3.7512186577118e-06,0.000196796494862974
"kiaa1143",1.01787874120027,3.97844573731365,32.9406899894152,3.77815091187899e-06,0.000196796494862974
"ppp1r3b",1.95229269179888,8.92217178562115,32.8757368959732,3.83769554902394e-06,0.000196796494862974
"LOC105916449",-0.826502661094902,9.44390631893984,32.8413100823557,3.8675715998695e-06,0.000196796494862974
"LOC105936699",-1.16177046065146,6.1964091301267,32.8302719352762,3.87764285022334e-06,0.000196796494862974
"spcs2",1.09819588546063,4.77990210835217,32.8259228033986,3.88161874233535e-06,0.000196796494862974
"ilf3b",1.2056923128785,3.31774405229761,32.8041733055447,3.90156746818191e-06,0.000196796494862974
"samhd1",2.40367675878542,4.44437438778828,33.0346441539423,3.94825872584719e-06,0.000197341149770071
"akap8l",0.781714158423784,4.66737628366017,32.5061059816826,4.18632887173967e-06,0.000207355280511934
"fam214a",1.45390553912326,5.9661113979245,32.2123324518162,4.48892249349013e-06,0.000215013273772628
"LOC105931062",1.01063278181857,4.17191696821458,32.2046500860403,4.49714389009443e-06,0.000215013273772628
"ripor1",-1.70636792903371,4.0122437877527,32.1940793312653,4.50848276605297e-06,0.000215013273772628
"hnf1a",1.01312507014465,5.09958503163875,32.1908439137925,4.51195941437338e-06,0.000215013273772628
"clptm1",0.772937699181757,4.59589850936945,32.1649440875303,4.53989424842127e-06,0.000215013273772628
"setb",0.901683958378169,5.43476006025626,32.1065371684654,4.60357397233779e-06,0.000215013273772628
"eif4eb",0.931388212619869,4.04323927018534,32.0964303940479,4.61469012462169e-06,0.000215013273772628
"notch2",-1.43271760099884,4.54552477885387,32.0143886271133,4.70599884264488e-06,0.000216122994030797
"pi4k2a",0.76701880820066,4.11847951398054,32.0045076307639,4.71712609743463e-06,0.000216122994030797
"atg3",-0.777621790034893,5.86212206398843,31.7817269530389,4.97565064556366e-06,0.000226083696275281
"gch2",-1.66310174591676,6.03119188808955,31.7364585097568,5.03001810442129e-06,0.000226680651951707
"gtf2b",1.0681486317132,4.84173109013859,31.6002277781839,5.19751359875065e-06,0.000229066804620198
"sec63",1.46387847042667,4.60361305944487,31.5958582333317,5.2029840695113e-06,0.000229066804620198
"LOC105936400",-0.820592670933474,3.68917334936778,31.5560389644538,5.2531216969599e-06,0.000229066804620198
"grwd1",1.15968251172696,3.31155704574761,31.555513614213,5.25378663696504e-06,0.000229066804620198
"c9",1.19058864416595,8.3894744982252,31.5260022554744,5.29128486481724e-06,0.000229066804620198
"snrpa1",0.996577380588387,3.15472787379446,31.2987044484925,5.58990824046293e-06,0.000240104027391134
"edil3a",-4.931884288861,4.46270458819439,31.9462874013943,5.83063427631524e-06,0.000248206731589695
"si:dkey-4e7.3",2.04836498595554,5.0834191434572,31.176211407118,5.86883868800662e-06,0.000248206731589695
"psmb1",0.813163785728813,6.1720028222647,30.6950411218983,6.47439437830819e-06,0.000269920430680371
"tardbp",0.791980893206317,4.33685473081057,30.6813285064767,6.49615386255138e-06,0.000269920430680371
