"","logFC","logCPM","F","PValue","FDR"
"stk17al",-1.66153529249682,3.68496288182153,31.1187614834209,5.83914184117718e-06,0.000317857443988041
"tkfc",-1.50478764222406,6.11862653207635,31.0543826389722,5.93118628243282e-06,0.000319702570400153
"LOC105936238",-1.39286866086474,5.91497433898477,30.9172102628438,6.13254182249127e-06,0.000327346746990845
"slc37a4a",1.2167058628449,7.7266075068741,30.6393574510103,6.56324371626589e-06,0.000344884452052364
"ccl25b",-1.25128128862542,6.07026153803535,30.6248830945645,6.58655283112008e-06,0.000344884452052364
"derl1",0.972349696617296,4.76648221038497,30.5102534704796,6.7743182179774e-06,0.000351369826060752
"LOC105936899",-1.32402330958763,4.77166975233841,30.420570093479,6.92522628282896e-06,0.000355840131803678
"polr3e",-0.850747525996009,3.41049393926336,30.381665593207,6.99180862934857e-06,0.000355934850408875
"apoc4",-1.61488382340157,9.04937754732597,30.2987200769928,7.13606959907364e-06,0.000359945969318412
"LOC105920174",-0.573039844273746,5.96477229523337,30.2476913983167,7.22640506760881e-06,0.000360358734890246
"krit1",1.25405243222553,2.93579639338393,30.2203341715194,7.27534004598351e-06,0.000360358734890246
"mat1a",1.04734502341189,10.5174528674329,29.9994883937826,7.68365057595077e-06,0.000377184918451583
"abat",1.29684546636092,4.99871128175852,29.8765773056802,7.92149336727354e-06,0.000384937237042838
"LOC105940281",-0.575140595297185,8.87770995435734,29.8461417176003,7.9816014956136e-06,0.000384937237042838
"lcat",0.961458576607627,9.03905068976678,29.7910388441195,8.09167505091164e-06,0.000386852429825323
"LOC105929369",-1.33272483625105,3.98307812033072,29.7297512124614,8.21602055988083e-06,0.000389411043432973
"LOC105931421",-2.7037489297082,7.29344012592289,29.9767769803811,8.28926617537068e-06,0.000389524661813573
"col6a1",-1.86862919585049,3.23228970230783,29.6104808241869,8.46392608987787e-06,0.000393792336735798
"camlg",0.966845986332126,3.53179662972368,29.5824560218768,8.52333358886139e-06,0.000393792336735798
"rab11fip1b",-0.962778894888187,4.01446671311095,29.5088925813459,8.68141481614674e-06,0.000396341706441831
"LOC105934056",-2.62179984826768,2.80200443808515,29.4899219914197,8.72268942878529e-06,0.000396341706441831
"LOC105928529",1.05912331612267,3.29984830955628,29.2161248219872,9.34244777786285e-06,0.000421022769530245
"gramd2b",1.09500540832102,5.04302344254151,29.1243887837488,9.56053940536233e-06,0.000427348338623432
"tdh",-3.46368301543861,5.88775734244162,29.6030639164167,9.82247150112524e-06,0.000435515712203118
"masp1",-0.829695183712723,6.95264167716307,28.9338696405913,1.00311379921323e-05,0.000437716802544434
"mydgf",1.72824186723148,2.94480216436342,28.9001427171377,1.01170071564923e-05,0.000437716802544434
"ahr2",0.933756397892234,4.82787999230551,28.892427725057,1.01367603181965e-05,0.000437716802544434
"sec14l7",1.4361475991735,6.12820117529531,28.8310968200395,1.02952703481924e-05,0.000437716802544434
"si:dkey-24l11.2",1.02144275983234,3.43976093503541,28.8262958930023,1.03077901875925e-05,0.000437716802544434
"abcf3",1.25547275194778,3.25886509794425,28.8039384943255,1.03663094142385e-05,0.000437716802544434
"bco1l",1.21333980457585,5.71101344939128,28.7738494588021,1.04456294442246e-05,0.000437716802544434
"ssr2",1.02516777168852,6.73149859142176,28.7499771156519,1.05090247246026e-05,0.000437716802544434
